new_clipi-j,old_clipi-j,id,name,nodding,looking_down,getting_closer,active_hand,smile,vol_mean,vol_std,pitch_mean,pitch_std,word_num,sentiment,positive,negative,neutral,w0,w1,w2,w3,w4,event_type,time_start,time_end,dialogue
clip2-2,clip2-2,0,Katie,1,0,1,0,0,52.93328525,43.90554563,246.5184173,51.22244513,35,0,0.334,0.003,0.663,0.442,0.48,0.438,0.451,0.436,all_activity,02:22.1,02:32.1,Go to your video out your camera APP switcher the video flip it around so it's video selfie so that you can see yourself i'd like you to record yourself so prop up your phone.
clip2-3,clip2-3,0,Katie,1,0,1,1,0,58.27408218,21.47553971,231.5024709,39.75354634,39,0,0.407,0.002,0.591,0.511,0.544,0.504,0.509,0.507,all_activity,02:32.8,02:43.7,"prop up your phone so you're not holding your phone but prop it up in front of you, maybe against a lamp or a wall or your monitor hit record and record yourself delivering the quote to your phone."
clip2-4,clip2-4,0,Katie,1,0,1,0,0,58.72038073,12.85888152,230.0808482,52.57897302,20,0,0.546,0.004,0.45,0.406,0.441,0.403,0.415,0.401,all_activity,02:44.8,02:51.1,that's it it's only going to take your 10 seconds prop up your phone landscape mode hit record deliver yourself.
clip2-5,clip2-5,0,Katie,1,0,0,0,0,52.59875218,11.4107505,159.7032706,49.61349432,8,0,0.275,0.002,0.723,0.273,0.297,0.274,0.29,0.269,all_activity,02:52.9,02:55.2,record yourself delivering your quote go for it.
clip3-1,clip3-1,0,Katie,1,0,1,0,0,60.68821252,9.236883408,189.9305417,18.54762482,20,0,0.39,0.001,0.609,0.375,0.406,0.372,0.384,0.371,single_question,03:30.7,03:36.4,Carla Carla you just finished natalie are you looking around for like a quiet conference room or something for yourself.
clip3-2,clip3-2,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.397,0.002,0.601,0.136,0.145,0.138,0.152,0.135,single_question,03:36.6,03:44.9,"yeah i'm not going to be able to do that in the office but that's fine because this stuff i've done many times, through just my taste masters history so."
clip3-3,clip3-3,0,Katie,0,0,0,0,0,63.48046059,8.755951339,176.211963,19.48230304,2,0,0.79,0.002,0.208,0.158,0.167,0.155,0.154,0.157,single_question,03:45.2,03:45.5,don't worry.
clip3-4,clip3-4,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.165,0.003,0.832,0.036,0.032,0.034,0.033,0.037,single_question,03:45.7,03:47.1,i'm absorbing.
clip3-5,clip3-5,0,Katie,1,0,0,0,0,63.94407327,10.65142718,205.3036956,53.42408295,4,0.5,0.766,0.002,0.232,0.308,0.332,0.308,0.323,0.305,single_question,03:47.6,03:49.4,"Okay, we are facing."
clip3-6,clip3-6,0,Katie,1,0,0,0,0,58.32148778,14.30158439,213.6137579,49.93225129,25,-0.083333333,0.721,0.003,0.276,0.317,0.346,0.317,0.334,0.312,single_question,03:49.9,03:57.1,Today is all about a deep dive in our voice techniques so you're going to be doing some pretty weird stuff just so you know.
clip3-7,clip3-7,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.771,0.002,0.227,0.136,0.145,0.138,0.152,0.135,single_question,03:57.8,04:02.1,"yeah I might just have to take notes and practice, it when i'm able to get away from."
clip3-8,clip3-8,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.13,0.004,0.866,0.036,0.032,0.034,0.033,0.037,single_question,04:03.7,04:05.4,me but i'll do what I can.
clip7-1,clip8-1,0,Katie,1,0,0,1,0,55.16835833,30.11823974,219.4293454,41.52894939,36,0.25,0.43,0.005,0.565,0.426,0.452,0.423,0.431,0.422,all_question,09:26.8,09:37.6,"So here we go, I will need a couple of volunteers to help me through each of the activities, who would like to be my first volunteer to help me DEMO the three techniques for volume."
clip7-2,clip8-2,0,Katie,0,0,0,1,0,58.45628353,18.81496532,239.5952784,48.87623671,18,0.178571429,0.619,0.002,0.379,0.303,0.313,0.295,0.287,0.301,all_question,09:42.7,09:47.3,"My GM yep Oh, and then gabriola you can do next, I saw the GM first all right."
clip7-3,clip8-3,0,Katie,1,0,0,0,0,49.41781994,51.60993874,269.0677757,41.68085837,10,0.392857143,0.309,0.002,0.689,0.327,0.354,0.327,0.343,0.323,all_question,09:47.5,09:51.3,"Okay, wait I i'm you were raising your hand right."
clip7-4,clip8-4,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.288,0.001,0.711,0.136,0.145,0.138,0.152,0.135,all_question,09:51.4,09:53.7,I was I i'm just so excited.
clip7-5,clip8-5,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.361,0.008,0.631,0.036,0.032,0.034,0.033,0.037,all_question,09:53.8,09:55.6,If I couldn't do it or not.
clip7-6,clip8-6,0,Katie,0,0,0,0,0,66.99462769,6.912551637,311.3741678,57.31379826,4,0,0.041,0.001,0.958,0.22,0.235,0.216,0.216,0.217,all_question,09:57.5,09:58.1,"Do it, you can."
clip7-7,clip8-7,0,Katie,0,0,0,0,0,62.12244188,8.38977476,234.6936203,83.00664896,3,0,0.014,0.002,0.984,0.213,0.227,0.208,0.209,0.21,all_question,09:58.6,09:59.2,Do it alright.
clip7-8,clip8-8,0,Katie,0,0,0,0,0,58.87966812,11.83088926,215.409779,52.10710368,11,-0.155555556,0.072,0.002,0.926,0.194,0.207,0.19,0.191,0.191,all_question,09:59.4,10:02.2,"So trust the process I won't let you down, I promise."
clip8-1,clip9-1,0,Katie,1,0,0,0,0,57.02694093,15.31626854,225.4453565,43.0500924,33,0.5,0.367,0.004,0.629,0.348,0.376,0.348,0.363,0.344,all_activity,10:03.5,10:11.7,"Now, in a moment, I want you to read your quote to the rest of the group Okay, and everybody else everybody else, I want you to put your hand up like this."
clip8-2,clip9-2,0,Katie,1,0,1,0,0,53.55694575,43.94289335,227.5952354,56.75826104,34,0,0.514,0.004,0.482,0.44,0.478,0.436,0.449,0.435,all_activity,10:13.4,10:22.7,"This is a meter I want you to listen to the GM as she reads for quote, and I want you to gauge the volume of her voice with your meter so she gets."
clip8-3,clip9-3,0,Katie,1,0,1,1,0,57.48706072,27.38376195,227.9236901,54.49579626,50,0.069444444,0.524,0.004,0.472,0.541,0.577,0.534,0.539,0.537,all_activity,10:23.0,10:38.2,"A little loud way loud little soft way soft I want you to gauge it with your meter based on what you're hearing and so it's accurate, I need Gabriella natalie Carla close your eyes focus only on the volume of her voice, but don't go ahead when you're ready."
clip8-4,clip9-4,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.401,0.001,0.598,0.136,0.145,0.138,0.152,0.135,all_activity,10:39.7,10:47.3,"You can either look for a reason to succeed or find excuses to fail, what are you searching for."
clip8-5,clip9-5,0,Katie,0,0,0,0,0,64.07800799,7.976959889,238.7861149,46.05092553,15,0.142857143,0.081,0.003,0.916,0.216,0.229,0.211,0.211,0.213,all_activity,10:48.5,10:52.3,"All right, freeze open your eyes everybody where was her range from where to where."
clip9-1,clip10-1,0,Katie,1,1,1,0,0,62.55859017,11.50650075,239.3251802,64.1993787,36,0.043386243,0.263,0.003,0.734,0.485,0.484,0.503,0.515,0.484,single_question,10:54.4,11:03.6,"All right, natalie now is natalie if she was using 100% of a range meaning she went all the way up all the way down what percent of her total range, do you think she used."
clip9-2,clip10-2,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.033,0.001,0.966,0.036,0.032,0.034,0.033,0.037,single_question,11:05.0,11:06.0,It was it was small.
clip9-3,clip10-3,0,Katie,0,0,1,0,0,58.03192148,11.07710404,212.0415728,60.82876318,12,0,0.433,0.005,0.562,0.294,0.313,0.285,0.282,0.291,single_question,11:06.6,11:10.7,yeah yeah I think you had probably let's say like 10% 15%.
clip10-1,clip11-1,0,Katie,1,0,1,1,0,59.73070728,14.49833077,239.481868,58.81738711,38,0.095238095,0.211,0.006,0.783,0.525,0.559,0.518,0.522,0.52,all_activity,11:12.3,11:23.8,"All right, let's figure out what our range is so this is this is going to be for everybody, except natalie natalie you just stay on mute definitely don't do this next thing everybody else, unless you have."
clip10-2,clip11-2,0,Katie,1,0,0,0,0,56.59639893,17.08581874,224.8097886,39.58873545,44,-0.155555556,0.675,0.007,0.318,0.34,0.372,0.34,0.357,0.334,all_activity,11:24.2,11:38.2,"A sleeping person in your House, then please come off mute we're going to figure out what our ranges so everybody put your hands down out like this, but i'm yep you can join us for this activity now put it down to zero."
clip10-3,clip11-3,0,Katie,1,0,0,0,0,51.47120488,23.29177411,229.0205869,38.77929788,28,-0.155555556,0.57,0.007,0.423,0.313,0.343,0.314,0.331,0.308,all_activity,11:40.0,11:49.0,So what we're going to do yep down to zero what we're going to do is we're going to count all together from zero to 100 every 20.
clip10-4,clip11-4,0,Katie,1,0,1,0,0,62.77375592,8.963007074,195.6562081,50.89821145,10,0,0.716,0.005,0.279,0.383,0.415,0.38,0.392,0.379,all_activity,11:50.1,11:52.7,And we're going to get progressively louder as we go.
clip10-5,clip11-5,0,Katie,1,0,1,1,0,52.27343659,22.29536013,236.1271709,66.01753812,43,0.051031746,0.481,0.006,0.513,0.532,0.567,0.525,0.529,0.527,all_activity,11:53.9,12:12.1,So at zero here you and then 2040 6080 and so when we're at 100 we are yelling a little bit okay if everybody hands at zero yeah natalie you might want to turn that down a little bit all right 321 go.
clip10-6,clip11-6,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.877,0.007,0.116,0.036,0.032,0.034,0.033,0.037,all_activity,12:13.2,12:13.7,See.
clip10-7,clip11-7,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.684,0.008,0.308,0.136,0.145,0.138,0.152,0.135,all_activity,12:14.3,12:18.5,20 4046 EC.
clip11-1,clip11-8,0,Katie,1,0,0,0,0,60.81372343,11.90349592,199.6012461,46.44277723,7,0.7,0.052,0.002,0.946,0.312,0.335,0.312,0.327,0.309,none,12:22.3,12:23.9,"Alright, good now The good news is."
clip11-2,clip12-1,0,Katie,1,1,0,0,0,56.01140665,16.9809052,240.4216937,82.3771821,24,0.7,0.244,0.009,0.747,0.409,0.398,0.429,0.445,0.409,none,12:24.1,12:31.8,The good news is you don't have to go from zero to 100 to get the attention of the audience it's not volume alone.
clip11-3,clip12-2,0,Katie,1,0,1,0,0,56.15709854,12.38014435,213.1207947,60.33083327,33,0,0.356,0.005,0.639,0.425,0.461,0.421,0.434,0.42,none,12:32.5,12:43.9,That lowers filters it's any change in value changing volume that lowers filters audiences years they detect that change they perk up they listen and they want to say hey what was that.
clip11-4,clip12-3,0,Katie,1,1,1,0,0,57.58117737,15.07414239,246.0592182,44.09475798,44,-0.051851852,0.351,0.028,0.621,0.479,0.479,0.498,0.511,0.479,none,12:44.4,12:57.7,"So it's changing value alright, but going back to you we're going to do, and actually each of you what what's going to be helpful, is when you have your quote go up in the corner and write down a list one through six."
clip11-5,clip12-4,0,Katie,0,0,0,0,0,62.5043911,10.7700896,259.1745042,57.56971355,21,0,0.279,0.007,0.714,0.232,0.248,0.228,0.228,0.229,none,12:58.8,13:04.1,"One through six you only need a tiny, tiny bit of room you're only going to write one maybe two words."
clip11-6,clip12-5,0,Katie,1,0,0,0,0,58.91844764,11.97476892,241.0524372,33.16017119,17,0,0.395,0.002,0.603,0.302,0.329,0.303,0.319,0.298,none,13:05.1,13:10.4,"For each item, but this will help you keep track as we start stacking in different techniques."
clip11-7,clip12-6,0,Katie,1,1,0,1,0,58.9050386,15.47504539,214.1742233,40.68485154,42,0.027777778,0.257,0.005,0.738,0.461,0.449,0.48,0.489,0.462,none,13:10.7,13:23.1,"Of course, you have your your tip sheet and your research stack but, as you go in and you work in practice you'll have that so become on the first one everybody write down number one is loud everybody write down loud."
clip12-1,clip12-7,0,Katie,1,0,1,0,0,55.89141566,18.88494537,227.7162365,71.13496652,34,-0.033333333,0.342,0.006,0.652,0.438,0.477,0.435,0.447,0.433,all_activity,13:25.0,13:35.2,"Now the game, I want you to choose one word in your quote just on the beginning part don't worry about the rest of your quote, that you want to place bold emphasis on."
clip12-2,clip12-8,0,Katie,0,0,0,0,0,61.68866121,15.93558697,217.5241852,29.67400217,6,0,0.057,0.001,0.942,0.183,0.194,0.179,0.179,0.181,all_activity,13:36.3,13:37.6,When you have that one word.
clip12-3,clip12-9,0,Katie,1,1,0,0,0,59.23039561,12.46785176,217.162977,40.15896941,36,0,0.282,0.004,0.714,0.371,0.362,0.393,0.41,0.371,all_activity,13:38.6,13:47.8,"tell me what that word is each of you look at your quote do the same thing that the GM and I do here, everybody find one word that you want to place both emphasis on."
clip12-4,clip13-1,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.265,0,0.735,0.136,0.145,0.138,0.152,0.135,all_activity,13:51.8,13:52.7,Shall I say.
clip12-5,clip13-2,0,Katie,1,0,0,0,0,59.20306482,14.56366606,177.6242018,63.89616514,7,0,0.12,0.002,0.878,0.292,0.318,0.293,0.309,0.288,all_activity,13:53.2,13:54.4,"yeah go for it, what is it."
clip12-6,clip13-3,0,Katie,1,0,0,0,0,33.94820597,86.74025572,232.2402118,44.3352609,30,0.444444444,0.245,0.005,0.75,0.356,0.385,0.355,0.371,0.351,all_activity,13:54.7,14:05.0,"Look look okay Now you can indicate that on your sheet, however, you want, you can bold it, you can underline it, you can circle it whatever you want okay."
clip13-1,clip14-1,0,Katie,1,0,1,0,0,57.42778258,18.54349456,236.1308524,57.36746557,31,0.095238095,0.575,0.008,0.417,0.433,0.469,0.429,0.441,0.428,single_question,14:05.6,14:13.6,"Now, who here raise your hand if you can drive a stick shift or a standard standard car all right natalie, what do you have to do before you change gears."
clip13-2,clip14-2,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.717,0.007,0.276,0.036,0.032,0.034,0.033,0.037,single_question,14:15.0,14:15.7,In the clutch.
clip13-3,clip14-3,0,Katie,0,0,0,0,0,58.52044561,15.00610883,251.8925488,60.08974781,7,0,0.197,0.002,0.801,0.208,0.222,0.204,0.204,0.206,single_question,14:16.3,14:17.6,And if you don't do the clutch.
clip13-4,clip14-4,0,Katie,0,0,0,0,1,0,0,0,0,0,0,0.059,0.006,0.935,0.036,0.032,0.034,0.033,0.037,single_question,14:18.3,14:20.9,That engine went connecting the engine will just go.
clip13-5,clip14-5,0,Katie,1,0,0,0,0,63.38746195,11.20902885,235.5693119,39.12551842,10,-0.7,0.319,0.004,0.677,0.272,0.302,0.275,0.292,0.267,single_question,14:22.3,14:24.9,and make really bad noises and bad things happen yeah.
clip14-1,clip15-1,0,Katie,1,0,0,0,0,56.28625011,17.15909902,219.5507118,47.15790047,22,0.4,0.651,0.013,0.336,0.329,0.355,0.328,0.344,0.324,none,14:25.1,14:31.7,yeah now it's important for each of you to remember when you change gears in your voice the audience needs a clutch.
clip14-2,clip15-2,0,Katie,1,0,1,0,0,54.48559856,18.27136814,217.3467677,61.57670021,49,0.346428571,0.294,0.017,0.689,0.466,0.504,0.461,0.473,0.46,none,14:32.5,14:48.2,"Okay, the audience needs a clutch what the clutch is is going to be a micro pause before and after your word before and after your word so where you have the word look, I want you to do a nice big slash right in front of that word."
clip14-3,clip15-3,0,Katie,1,0,1,0,0,58.17207629,14.48188174,217.2801354,61.63059562,38,-0.120357143,0.403,0.007,0.59,0.433,0.471,0.43,0.442,0.427,none,14:49.4,14:59.0,And a slash right after that word to indicate that you should do a little micro pause and here's why Let me give you a good example in a bad example i'm gonna start with a bad example.
clip14-4,clip15-4,0,Katie,1,0,1,0,0,43.25178141,64.87552229,215.7437866,47.74768082,23,0.080357143,0.574,0.005,0.421,0.417,0.452,0.413,0.426,0.412,none,15:00.1,15:07.4,"If i'm somebody who's speaking natural normal voice natural normal voice a little bit louder natural normal voice, then I blurred the effect."
clip14-5,clip15-5,0,Katie,1,0,0,0,0,24.17810628,89.41799587,191.8195539,42.08566429,31,0.173809524,0.355,0.003,0.642,0.329,0.357,0.329,0.345,0.324,none,15:09.0,15:20.0,"If it's change that captures the attention of the audience has to be clean crisp change, so what we're looking for is natural normal voice natural normal voice shift out loud."
clip15-1,clip15-6,0,Katie,1,0,1,1,0,53.53991021,13.6413697,177.3125354,54.35074349,20,0.142222222,0.279,0.004,0.717,0.474,0.502,0.467,0.472,0.471,single_activity,15:21.4,15:25.9,shift down natural normal voice make it a clean crisp change now become I want you to try it now.
clip15-2,clip15-7,0,Katie,1,0,0,1,0,57.03216046,17.90484946,234.6192399,61.64942037,43,0.2,0.408,0.006,0.586,0.447,0.476,0.444,0.453,0.443,single_activity,15:26.3,15:38.9,"I want you to do just the first line of your quote where you have your your loud word look don't worry about finishing the quote just give us that first line, but when you get to that word micro pause shift up."
clip15-3,clip16-1,0,Katie,1,0,0,1,0,60.11031506,12.45770509,231.0567887,66.38971286,17,0.031481481,0.606,0.003,0.391,0.403,0.428,0.4,0.408,0.399,single_activity,15:39.8,15:45.6,"shift up about 20 points in your volume, now that word shift down natural normal voice again."
clip15-4,clip16-2,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.598,0.004,0.398,0.036,0.032,0.034,0.033,0.037,single_activity,15:46.4,15:46.7,Okay.
clip15-5,clip16-3,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.226,0.004,0.77,0.136,0.145,0.138,0.152,0.135,single_activity,15:47.2,15:53.2,"so forth, you can either look for reasons to succeed."
clip15-6,clip16-4,0,Katie,1,0,0,0,1,54.07364658,19.20970469,242.9511518,75.64851785,21,0.361904762,0.533,0.001,0.466,0.348,0.377,0.348,0.364,0.343,single_activity,15:53.9,16:00.6,"And pause right there good now folks, we think that was her loud do we think that was allowed, oh no."
clip15-7,clip16-5,0,Katie,0,0,0,0,1,0,0,0,0,0,0,0.518,0.001,0.481,0.036,0.032,0.034,0.033,0.037,single_activity,16:01.3,16:02.2,It was emphasis.
clip15-8,clip16-6,0,Katie,0,0,0,0,0,60.81622191,13.93260802,223.3300605,23.913581,2,0,0.857,0,0.143,0.172,0.182,0.168,0.168,0.17,single_activity,16:02.6,16:02.9,It was.
clip15-9,clip16-7,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.533,0.001,0.466,0.136,0.145,0.138,0.152,0.135,single_activity,16:03.2,16:05.3,"Well, strong but it wasn't loud."
clip15-10,clip16-8,0,Katie,1,0,0,0,0,62.90174838,9.619489977,236.9094437,57.53887124,32,-0.125,0.366,0.022,0.612,0.339,0.371,0.339,0.356,0.333,single_activity,16:05.7,16:13.7,"Now she she did that also also with her, her eyebrows to so she nodded her head she had other things to place emphasis, but I still want to stretch your voice."
clip15-11,clip16-9,0,Katie,1,0,0,1,0,34.33783206,84.852416,218.1116187,35.13528762,45,0.107142857,0.53,0.003,0.467,0.437,0.465,0.433,0.442,0.432,single_activity,16:14.1,16:27.8,"Right it's a big big um I want you to say the word look natural normal voice just say look look now I want you to stretch up 20 points in the volume of your voice, and now that we're even louder go for it."
clip15-12,clip16-10,0,Katie,1,0,0,1,0,18.23444139,119.7584911,309.4263039,42.68885078,12,0.596428571,0.214,0.01,0.776,0.43,0.453,0.426,0.434,0.427,single_activity,16:28.7,16:32.0,"look good good good all right, so that almost there almost there."
clip15-13,clip16-11,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.208,0.009,0.783,0.036,0.032,0.034,0.033,0.037,single_activity,16:32.5,16:32.9,That doesn't.
clip15-14,clip16-12,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.545,0.003,0.452,0.136,0.145,0.138,0.152,0.135,single_activity,16:34.4,16:35.9,make me angry.
clip15-15,clip16-13,0,Katie,1,0,0,0,0,77.43303429,4.039015347,302.729451,77.33449427,5,0,0.06,0.002,0.938,0.34,0.371,0.34,0.357,0.334,single_activity,16:36.6,16:37.9,"No, no, no don't don't."
clip15-16,clip16-14,0,Katie,0,0,0,0,0,0,0,0,0,0,0,0.096,0.001,0.903,0.036,0.032,0.034,0.033,0.037,single_activity,16:39.1,16:39.7,don't don't.
clip15-17,clip16-15,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.336,0.024,0.64,0.136,0.145,0.138,0.152,0.135,single_activity,16:41.4,16:45.1,I keep that blog noise to my daughter yeah.
clip15-18,clip16-16,0,Katie,1,0,0,0,1,56.32484705,19.78101967,257.9480397,43.1756799,23,0.392857143,0.4,0.009,0.591,0.338,0.365,0.337,0.353,0.333,single_activity,16:47.2,16:54.0,"All right, that was about 16 points I need to push you to 20 I want you to say it again look okay."
clip15-19,clip17-1,0,Katie,1,0,0,1,0,53.79479543,34.62864953,226.6997979,50.58076434,30,0.536666667,0.605,0.009,0.386,0.435,0.459,0.431,0.439,0.431,single_activity,17:11.6,17:20.0,"Okay that's where we get your repetition so, but then that was perfect do your sentence again just that first line but go ahead and do that Nice bold look."
clip15-20,clip17-2,0,Katie,1,0,0,0,0,0,0,0,0,0,0,0.191,0.019,0.79,0.136,0.145,0.138,0.152,0.135,single_activity,17:21.6,17:26.1,You can either look for reasons to succeed.
clip16-1,clip18-1,0,Katie,1,0,0,0,1,-22.02711412,139.6372776,189.1576779,39.50760776,4,0,0.425,0.009,0.566,0.278,0.303,0.279,0.295,0.274,all_activity,17:42.2,17:46.4,A G m diaphragm.
clip16-2,clip18-2,0,Katie,0,0,0,0,0,58.43374722,8.636670297,150.4413286,28.91612456,6,0.285714286,0.336,0.005,0.659,0.17,0.177,0.166,0.165,0.169,all_activity,17:47.6,17:48.7,I hope I spelled that right.
clip16-3,clip18-3,0,Katie,0,0,0,0,0,61.17068844,11.97995257,264.1403877,56.75346592,23,0.285714286,0.103,0.012,0.885,0.246,0.261,0.24,0.241,0.243,all_activity,17:50.6,17:56.6,"diver and everybody take one hands, and I want you to put it right here, I hope you can see that, where it's."
clip16-4,clip18-4,0,Katie,1,0,0,0,0,57.5873404,15.61204545,248.6669404,55.3465904,23,0.146428571,0.056,0.001,0.943,0.333,0.363,0.334,0.35,0.329,all_activity,17:57.0,18:04.0,"On your diaphragm just above your belly now take your other hand, make a fist and a right angle right right alongside you."
clip16-5,clip18-5,0,Katie,1,0,0,1,0,35.98926193,73.085621,242.7951526,44.33447666,51,0.1,0.092,0.003,0.905,0.454,0.483,0.45,0.459,0.449,all_activity,18:04.4,18:20.7,"Now I want you to say the word kick but, as you say the word I want you to pull your fist in force all the air out of your lungs, as you say the word actually feel your diaphragm kick against your hand I want you to say kick ready."
clip16-6,clip19-1,0,Katie,0,0,0,0,0,4.468295348,127.9437246,263.3308662,79.78332049,7,0,0.099,0.001,0.9,0.226,0.241,0.221,0.222,0.223,all_activity,18:22.4,18:24.7,There we go oh Carla and gabrielle.
clip16-7,clip19-2,0,Katie,0,0,0,0,0,58.13233267,8.295895448,217.6569817,25.2723965,8,0,0.059,0.001,0.94,0.176,0.186,0.172,0.172,0.174,all_activity,18:24.7,18:25.8,You can come off mute that would be.
clip16-8,clip19-3,0,Katie,1,0,0,0,0,39.15868411,49.86329528,255.938198,73.04587132,10,0.25,0.062,0.003,0.935,0.328,0.356,0.328,0.344,0.324,all_activity,18:25.8,18:30.3,"fun, but go yeah go for it ready 123 keke."
clip16-9,clip19-4,0,Katie,1,0,0,1,0,0,0,0,0,0,0,0.223,0.002,0.775,0.214,0.22,0.214,0.221,0.214,all_activity,18:30.5,18:31.8,keke keke.
clip16-10,clip19-5,0,Katie,1,0,1,0,0,55.98180933,17.98766117,248.5420106,38.38139543,15,0.45,0.272,0.012,0.716,0.41,0.441,0.405,0.417,0.406,all_activity,18:32.0,18:38.8,"Good now let's count 125 use your diaphragm and every number ready, here we go."
clip16-11,clip19-6,0,Katie,1,0,0,1,0,52.89932897,24.23485191,241.4195166,51.76306507,1,0,0.268,0.008,0.724,0.368,0.39,0.366,0.374,0.365,all_activity,18:39.5,18:45.5,11122333444
clip16-12,clip19-7,0,Katie,1,0,0,0,0,63.29795396,15.40216965,250.8986038,32.796537,2,0.285714286,0.386,0.005,0.609,0.297,0.321,0.297,0.313,0.293,all_activity,18:46.8,18:47.3,All right.
clip16-13,clip19-8,0,Katie,1,0,0,1,0,53.55350122,19.87599537,238.566404,48.36990884,31,0.135416667,0.145,0.006,0.849,0.416,0.442,0.413,0.422,0.412,all_activity,18:47.8,18:59.0,"Here we go, we got two more things two more things next round, I want you to start odd numbers natural normal voice even numbers diaphragm so do the change ready."
clip16-14,clip19-9,0,Katie,1,0,0,1,0,0,0,0,0,0,0,0.202,0.006,0.792,0.214,0.22,0.214,0.221,0.214,all_activity,18:59.1,19:08.3,3211122334 or five.
clip16-15,clip19-10,0,Katie,1,0,1,1,1,60.40235795,12.4878271,216.0594928,39.19509105,36,0.142857143,0.48,0.009,0.511,0.505,0.537,0.498,0.502,0.501,all_activity,19:11.4,19:22.2,"there's always somebody that goes to six all right now last one everybody, I want you to say these two words that you heard your parents say to all the time when you were growing up."
clip16-16,clip19-11,0,Katie,0,0,0,0,0,50.1596441,14.94187804,244.6827705,18.22183827,2,0,0.504,0.004,0.492,0.164,0.173,0.16,0.16,0.162,all_activity,19:23.3,19:23.9,step it.
